root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
00:31:36.325209 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1527820:1527976, ack 829, win 501, length 156
00:31:36.356719 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1560168:1560324, ack 865, win 501, length 156
00:31:36.356867 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1560324:1560480, ack 865, win 501, length 156
00:31:36.356984 IP 99.238.17.64.57217 > 159.203.13.120.22: Flags [.], ack 1544932, win 2063, length 0
00:31:36.357069 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1560480:1560636, ack 865, win 501, length 156
00:31:36.357235 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1560636:1560896, ack 865, win 501, length 260
00:31:36.357380 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1560896:1561052, ack 865, win 501, length 156
00:31:36.357506 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1561052:1561208, ack 865, win 501, length 156
00:31:36.357625 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1561208:1561364, ack 865, win 501, length 156
00:31:36.357744 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1561364:1561520, ack 865, win 501, length 156
00:31:36.357892 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1561520:1561676, ack 865, win 501, length 156
00:31:36.358062 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1561676:1561832, ack 865, win 501, length 156
00:31:36.358197 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1561832:1561988, ack 865, win 501, length 156
00:31:36.358331 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1561988:1562144, ack 865, win 501, length 156
00:31:36.358462 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1562144:1562300, ack 865, win 501, length 156
00:31:36.358582 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1562300:1562456, ack 865, win 501, length 156
00:31:36.358730 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1562456:1562612, ack 865, win 501, length 156
00:31:36.358879 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1562612:1562768, ack 865, win 501, length 156
00:31:36.359022 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1562768:1562924, ack 865, win 501, length 156
00:31:36.359163 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1562924:1563080, ack 865, win 501, length 156
00:31:36.359312 IP 159.203.13.120.22 > 99.238.17.64.57217: Flags [P.], seq 1563080:1563236, ack 865, win 501, length 156
00:31:36.359474 IP 159.203.13.120.39486 > 0.0.0.22.166: Flags [S], seq 1767829627, win 64240, options [mss 1460,sackOK,TS val 3028084180 ecr 0,nop,wscale 7], length 0
